place_freeform;latitude;longitude
Sloup;49,4147861;16,7395306
Kostelec u Kyjova;49,0268308;17,1531989
Čejkovice;48,9059197;16,9423033
Těrlicko;49,7517656;18,4828953
Lubina;49,6190911;18,1767036
Bravantice;49,75712;18,082755
Ludgeřovice;49,8904225;18,2400828
Petrovice u Karviné;49,8958672;18,5477897
Praha-Prosek;50,1192517;14,4922181
Rožnov pod Radhoštěm;49,4580719;18,1422369
